date,province,articles,risk_any_count,score_sum,score_avg,province_conf_avg
2026-01-17,Quảng Ngãi,2,2,22.5,11.25,0.7493734335839599
2026-01-17,Quảng Trị,1,1,3.0,3.0,0.8795180722891567
2026-01-17,Sơn La,3,3,52.5,17.5,0.7913466461853559
2026-01-17,TP Hồ Chí Minh,11,9,82.0,7.454545454545454,0.8072270846880071
2026-01-17,Thanh Hóa,1,1,5.5,5.5,0.6875
2026-01-17,Thái Nguyên,1,1,2.5,2.5,0.8666666666666667
2026-01-17,Thừa Thiên Huế,4,4,23.0,5.75,0.7341737563511757
2026-01-17,Tây Ninh,3,1,5.0,1.6666666666666667,0.8383753927232188
2026-01-17,UNKNOWN,5,5,32.5,6.5,0.0
2026-01-17,Đà Nẵng,2,2,17.5,8.75,0.7301136363636364
2026-01-17,Đắk Lắk,2,1,14.0,7.0,0.7676651305683564
2026-01-17,Đồng Tháp,3,2,14.5,4.833333333333333,0.7723765432098766
2026-01-18,Bà Rịa - Vũng Tàu,2,2,12.0,6.0,0.865717375630858
2026-01-18,Bình Thuận,2,1,3.5,1.75,0.8267622461170849
2026-01-18,Bắc Ninh,1,1,3.5,3.5,0.9130434782608696
2026-01-18,Cà Mau,1,0,0.0,0.0,0.6428571428571428
2026-01-18,Hà Nội,9,4,18.5,2.0555555555555554,0.728262184725033
2026-01-18,Hòa Bình,1,0,0.0,0.0,0.8666666666666667
2026-01-18,Lào Cai,3,2,9.0,3.0,0.883380149812734
2026-01-18,Nghệ An,1,1,8.5,8.5,0.7435897435897436
2026-01-18,Ninh Bình,1,1,5.0,5.0,0.868421052631579
2026-01-18,Phú Thọ,2,2,11.0,5.5,0.881894873458793
2026-01-18,Quảng Ngãi,2,2,10.0,5.0,0.8051948051948052
2026-01-18,Sơn La,1,1,7.0,7.0,0.8876404494382022
2026-01-18,TP Hồ Chí Minh,6,5,25.0,4.166666666666667,0.8332248415923279
2026-01-18,Thừa Thiên Huế,2,2,21.0,10.5,0.71875
2026-01-18,Tuyên Quang,1,1,7.0,7.0,0.736842105263158
2026-01-18,Tây Ninh,2,2,9.5,4.75,0.8431818181818183
2026-01-18,UNKNOWN,8,5,48.0,6.0,0.0
2026-01-18,Điện Biên,3,3,22.5,7.5,0.736842105263158
2026-01-18,Đà Nẵng,4,2,13.0,3.25,0.7492559523809524
2026-01-18,Đồng Tháp,2,1,5.5,2.75,0.7987117552334944
2026-01-19,An Giang,1,1,2.5,2.5,0.908256880733945
2026-01-19,Bà Rịa - Vũng Tàu,2,2,12.0,6.0,0.8861635220125786
2026-01-19,Bình Thuận,1,1,4.5,4.5,0.5833333333333333
2026-01-19,Gia Lai,1,1,3.5,3.5,0.9107142857142857
2026-01-19,Hà Nội,3,2,16.5,5.5,0.7855140186915888
2026-01-19,Hòa Bình,2,1,3.0,1.5,0.6527777777777777
2026-01-19,Khánh Hòa,3,2,14.5,4.833333333333333,0.8654490106544901
2026-01-19,Lào Cai,2,2,20.0,10.0,0.8254401942926534
2026-01-19,Lâm Đồng,2,2,11.5,5.75,0.8587064676616916
2026-01-19,Nghệ An,3,3,19.0,6.333333333333333,0.7363547758284601
2026-01-19,Quảng Ngãi,1,1,11.0,11.0,0.8571428571428572
2026-01-19,Quảng Ninh,1,1,9.5,9.5,0.8507462686567164
